电影名称,电影图片,电影排名,电影评分,电影作者
死亡诗社,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,48,9.2,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        "
大话西游之月光宝盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,49,9.0,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        "
何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,50,9.1,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情
                        "
闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,51,9.1,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        "
绿皮书,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,52,8.9,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        "
大闹天宫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,53,9.4,"
                            导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
                        "
黑客帝国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,54,9.1,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻
                        "
指环王1：护戒使者,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,55,9.1,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        "
罗马假日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,56,9.1,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        "
教父2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,57,9.3,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        "
狮子王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,58,9.1,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞
                        "
天堂电影院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,59,9.2,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988 / 意大利 法国 / 剧情 爱情
                        "
饮食男女,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,60,9.2,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭
                        "
辩护人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,61,9.2,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
                            2013 / 韩国 / 剧情
                        "
本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,62,9.0,"
                            导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布...
                            2008 / 美国 / 剧情 爱情 奇幻
                        "
搏击俱乐部,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,63,9.0,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 / 剧情 动作 悬疑 惊悚
                        "
美丽心灵,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,64,9.1,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情
                        "
穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,65,9.2,"
                            导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
                            2008 / 英国 美国 / 剧情 战争
                        "
